DATE,MLS,PRICE,STATUS,DAYS_ON_MARKET
2026-07-18,nan,,,
2026-07-18,mredcs12709063,799000.0,Pre On-Market,1.0
2026-07-18,2152286911873862569,799000.0,Pre On-Market,1.0
2026-07-18,2151694284660651393,725000.0,Pre On-Market,1.0
2026-07-18,2150277060065476769,725000.0,Pre On-Market,1.0
2026-07-18,mredcs12705052,675000.0,Pre On-Market,2.0
2026-07-18,2150877609706223809,849900.0,Pre On-Market,2.0
2026-07-18,mredcs12697320,825000.0,Pre On-Market,2.0
2026-07-18,2145280193114052801,875000.0,Pre On-Market,3.0
2026-07-18,mredcs12705815,615000.0,Pre On-Market,3.0
2026-07-18,mredcs12703012,824900.0,Pre On-Market,4.0
2026-07-18,mredcs12704078,629000.0,Pre On-Market,5.0
2026-07-18,mredcs12703823,1250000.0,Pre On-Market,5.0
2026-07-18,2148830621790330841,795000.0,Pre On-Market,5.0
2026-07-18,2148725381283838073,629000.0,Pre On-Market,5.0
2026-07-18,mredcs12699683,815000.0,Pre On-Market,10.0
2026-07-18,mredcs12698226,1299900.0,Pre On-Market,10.0
2026-07-18,mredcs12696751,1100000.0,Pre On-Market,10.0
2026-07-18,mredcs12694853,1240000.0,Pre On-Market,12.0
2026-07-18,mredcs12680772,825000.0,Pre On-Market,12.0
2026-07-18,2133751758854837265,829000.0,Pre On-Market,13.0
2026-07-18,117049,825000.0,Pre On-Market,8.0
2026-07-18,mredcs12693659,1195000.0,Pre On-Market,17.0
2026-07-18,mredcs12693320,725000.0,Pre On-Market,17.0
2026-07-18,mredcs12693434,845000.0,Pre On-Market,17.0
2026-07-18,2137250006564031833,719000.0,Pre On-Market,21.0
2026-07-18,mredcs12688012,875000.0,Pre On-Market,22.0
2026-07-18,mredcs12685875,1050000.0,Pre On-Market,25.0
2026-07-18,mredcs12683583,699000.0,Pre On-Market,26.0
2026-07-18,2129791885526089009,,Pre On-Market,27.0
2026-07-18,2132760554096969849,850000.0,Pre On-Market,27.0
2026-07-18,2132755497209035657,885000.0,Pre On-Market,27.0
2026-07-18,2129959064226179249,875000.0,Pre On-Market,31.0
